storeSlug,name,description,storeAddress,storeZip,longDescription,latitude,longitude,storeURL,image,mapImage,phone
kwikshop-1,Kwik Shop - N 14th St,On the corner of 14th and Adams,"2940 N 14th St, Lincoln, NE",68521,Kiwk Shop on the corner of 14th and Adams.,40.84267988,-96.70099928,https://www.kwikshop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fkwikshopimage_70x70.png?alt=media,14024351083
kwikshop-2,Kwik Shop - N 1th St,On 1st Street,"2330 N 1st St, Lincoln, NE",68521,Kwik Shop on 1st Street,40.83669113,-96.71991919,https://www.kwikshop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fkwikshopimage_70x70.png?alt=media,14024752801
kwikshop-3,Kwik Shop - Cornhusker Hwy,On Cornhusker Hwy.,"2302 Cornhusker Hwy, Lincoln, NE",68521,Kwik Shop on Cornhusker Hwy.,40.84313186,-96.68769707,https://www.kwikshop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fkwikshopimage_70x70.png?alt=media,14024776020
kwikshop-4,Kwik Shop - Cornhusker Hwy,On Cornhusker Hwy.,"4400 Cornhusker Hwy, Lincoln, NE",68504,Kwik Shop on Cornhusker Hwy.,40.84947324,-96.65846441,https://www.kwikshop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fkwikshopimage_70x70.png?alt=media,14024646692
kwikshop-5,Kwik Shop - Fremont St,On Fremont Street,"5900 Fremont St, Lincoln, NE",68507,Kwik Shop on Fremont Street,40.84894276,-96.63950782,https://www.kwikshop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fkwikshopimage_70x70.png?alt=media,14024671661
kwikshop-6,Kwik Shop - N 48th St,On N 48th Street,"2811 N 48th St, Lincoln, NE",68504,Kwik Shop on N 48th Street,40.84047814,-96.65393704,https://www.kwikshop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fkwikshopimage_70x70.png?alt=media,14024643739
kwikshop-7,Kwik Shop - W St,On W Street,"2710 W St, Lincoln, NE",68503,Kwik Shop on W Street,40.82301272,-96.68196652,https://www.kwikshop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fkwikshopimage_70x70.png?alt=media,14024351033
kwikshop-8,Kwik Shop -Holdgrede St,On Holdredge Street,"3301 Holdrege St, Lincoln, NE",68503,Kwik Shop on Holdredge Street,40.82777743,-96.67249766,https://www.kwikshop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fkwikshopimage_70x70.png?alt=media,14024669410
kwikshop-9,Kwik Shop - Holdgrege St,On Holdredge Street,"5600 Holdrege St, Lincoln, NE",68505,Kwik Shop on Holdredge Street,40.8282797,-96.64378929,https://www.kwikshop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fkwikshopimage_70x70.png?alt=media,14024664241
kwikshop-10,Kwik Shop - Cotner St,On N Cotner Blvd.,"1441 N Cotner Blvd, Lincoln, NE",68505,Kwik Shop on N Cotner Blvd.,40.8276848,-96.63095662,https://www.kwikshop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fkwikshopimage_70x70.png?alt=media,14024668010
kwikshop-12,Kwik Shop - A St,On A Street,"3939 A St, Lincoln, NE",68510,Kwik Shop on A Street,40.79873668,-96.66363287,https://www.kwikshop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fkwikshopimage_70x70.png?alt=media,14024888526
kwikshop-13,Kwik Shop - S 56th St,On S 56th Street,"2040 S 56th St, Lincoln, NE",68506,Kwik Shop on S 56th Street,40.79182368,-96.643787,https://www.kwikshop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fkwikshopimage_70x70.png?alt=media,14024897834
kwikshop-14,Kwik Shop - Calvert St,On Calvert Street,"4750 Calvert St, Lincoln, NE",68506,Kwik Shop on Calvert Street,40.77736521,-96.6542429,https://www.kwikshop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fkwikshopimage_70x70.png?alt=media,14024882781
u-stop-19,U-Stop - S 48th & Hwy 2,,"5240 S 48th St A, Lincoln, NE",68516,,40.76069501,-96.65342622,http://www.u-stop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fu-stopimage_70x70.png?alt=media,14024343400
u-stop-20,U-Stop - O & Cherry Hill St,,"8231 O St, Lincoln, NE",68510,,40.81314907,-96.6077844,http://www.u-stop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fu-stopimage_70x70.png?alt=media,14024886167
u-stop-1,U-Stop - S 10th St,Right by the courthouse on 10th Street,"610 S 10th St, Lincoln, NE",68508,U-Stop on S 10th Street.,40.80773839,-96.70682685,http://www.u-stop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fu-stopimage_70x70.png?alt=media,14024747346
u-stop-2,U-Stop - N 56th St,On N 56th Street,"8201 N 56th St, Lincoln, NE",68514,U-Stop on N 56th Street,40.89338378,-96.64436278,http://www.u-stop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fu-stopimage_70x70.png?alt=media,14024830009
u-stop-3,U-Stop - Wildcat Dr,On Wildcat Drive,"6801 Wildcat Dr, Lincoln, NE",68504,U-Stop on Wildcat Drive,40.88007809,-96.68150779,http://www.u-stop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fu-stopimage_70x70.png?alt=media,14024779137
u-stop-4,U-Stop - Fletcher Ave,On Fletcher Ave,"110 Fletcher Ave Suite 101, Lincoln, NE",68521,U-Stop on Fletcher Ave,40.86971055,-96.72352089,http://www.u-stop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fu-stopimage_70x70.png?alt=media,14024779892
u-stop-5,U-Stop - Superior St,On Superior Street,"3280 Superior St, Lincoln, NE",68504,U-Stop on Superior Street,40.85745394,-96.67195848,http://www.u-stop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fu-stopimage_70x70.png?alt=media,14024383371
u-stop-6,U-Stop - Cornhusker Hwy,On Cornhusker Hwy.,"3244 Cornhusker Hwy, Lincoln, NE",68504,U-Stop on Cornhusker Hwy,40.84329556,-96.67341757,http://www.u-stop.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fstores%2F_resized%2Fu-stopimage_70x70.png?alt=media,14024674344
